��������,������,������,���,����

"Терминатор,8.0,""Великобритания, США"",1984,""фантастика, боевик"""
"Охота,7.9,""Дания, Швеция"",2012,драма"
"Я – легенда,7.9,США,2007,""фантастика, боевик"""
"Навсикая из долины ветров,8.1,Япония,1984,""аниме, мультфильм"""
"Невероятная жизнь Уолтера Митти,7.7,""США, Великобритания"",2013,""комедия, приключения"""
"Патриот,7.9,""США, Германия"",2000,""боевик, драма"""
"Дневник памяти,8.2,США,2004,""драма, мелодрама"""
"Алеша Попович и Тугарин Змей,7.7,Россия,2004,""мультфильм, комедия"""
"Схватка,8.0,США,1995,""триллер, драма"""
"Шерлок Холмс: Игра теней,7.9,""США, Великобритания"",2011,""боевик, приключения"""
"Выживший,7.8,""США, Гонконг"",2015,""приключения, вестерн"""
"Матрица: Революция,7.6,США,2003,""фантастика, боевик"""
"Джуманджи,7.8,США,1995,""фэнтези, комедия"""
"12 лет рабства,7.7,""США, Великобритания"",2013,""драма, биография"""
"Кин-дза-дза!,7.9,СССР,1986,""фантастика, драма"""
"Голос улиц,7.9,США,2015,""биография, музыка"""
"Лига справедливости Зака Снайдера,7.9,""США, Великобритания"",2021,""фантастика, боевик"""
"Ветер крепчает,7.9,Япония,2013,""аниме, мультфильм"""
"Жизнь других,8.1,""Германия, Франция"",2006,""триллер, драма"""
"Чарли и шоколадная фабрика,7.6,США,2005,""мюзикл, фэнтези"""
"Предложение,7.6,США,2009,""мелодрама, комедия"""
"Эта замечательная жизнь,8.4,США,1947,""фэнтези, драма"""
Белорусский вокзал,8.1,СССР,1970,драма
"Коралина в Стране Кошмаров,7.7,США,2008,""мультфильм, фэнтези"""
"Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,8.4,СССР,1980,""криминал, детектив"""
"Наруто 9: Путь ниндзя,7.9,Япония,2012,""аниме, мультфильм"""
"Майор Пэйн,7.6,США,1995,""комедия, приключения"""
"Андрей Рублев,8.2,СССР,1966,""драма, биография"""
"Убить Билла,7.6,""США, Япония"",2003,""боевик, триллер"""
"Невезучие,7.9,""Франция, Мексика"",1981,""комедия, криминал"""
"Рэй,8.1,США,2004,""драма, биография"""
"Золушка,8.0,США,1949,""мультфильм, мюзикл"""
"Огни большого города,8.5,США,1931,""комедия, мелодрама"""
"Живая сталь,7.6,""США, Индия"",2011,""фантастика, боевик"""
"Мост в Терабитию,7.8,США,2006,""фэнтези, драма"""
"Ип Ман 4,7.7,""Гонконг, Китай"",2019,""боевик, биография"""
"Нечто,7.9,США,1982,""ужасы, фантастика"""
"Господин Никто,7.9,""Бельгия, Германия"",2009,""фантастика, мелодрама"""
"Город героев,7.9,""США, Япония"",2014,""мультфильм, фантастика"""
"Гарри Поттер и Дары Смерти: Часть I,7.8,""Великобритания, США"",2010,""фэнтези, приключения"""
"Индиана Джонс: В поисках утраченного ковчега,8.0,США,1981,""приключения, боевик"""
"Три плюс два,8.0,СССР,1963,""мелодрама, комедия"""
"Помни,7.9,США,2000,""триллер, детектив"""
"Грань будущего,7.9,""США, Канада"",2014,""фантастика, боевик"""
"Джокер,8.0,""США, Канада"",2019,""драма, криминал"""
"Спящая красавица,8.0,США,1958,""мультфильм, мюзикл"""
"Маугли дикой планеты,7.8,Франция,2019,""мультфильм, фантастика"""
"Искусственный разум,7.9,""США, Великобритания"",2001,""фантастика, драма"""
"Собачья жизнь,7.9,""США, Индия"",2017,""фэнтези, драма"""
"Обыкновенное чудо,8.2,СССР,1978,""мюзикл, фэнтези"""
"Мумия,7.8,""США, Великобритания"",1999,""фэнтези, приключения"""
"Ворошиловский стрелок,7.8,Россия,1999,""драма, криминал"""
"Призрак в доспехах,8.0,Япония,1995,""аниме, мультфильм"""
"Афоня,8.0,СССР,1975,""драма, мелодрама"""
"Королевство полной луны,7.6,США,2012,""семейный, комедия"""
День выборов,7.8,Россия,2007,комедия
"Мы купили зоопарк,7.6,США,2011,""драма, семейный"""
"Воин,8.0,США,2011,""драма, спорт"""
"Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,8.2,СССР,1986,""триллер, криминал"""
"Пока не сыграл в ящик,8.0,США,2007,""драма, комедия"""
"Хищник,7.9,""США, Мексика"",1987,""ужасы, фантастика"""
"Как украсть миллион,8.2,США,1966,""комедия, криминал"""
"Жутко громко и запредельно близко,7.6,США,2011,""драма, детектив"""
"На игле,7.9,Великобритания,1995,""драма, криминал"""
"Конец Евангелиона,8.0,Япония,1997,""аниме, мультфильм"""
"Самая обаятельная и привлекательная,8.1,СССР,1985,""мелодрама, комедия"""
"Чтец,7.9,""США, Германия"",2008,""драма, мелодрама"""
"Логан,7.6,США,2017,""фантастика, боевик"""
Особенности национальной охоты,7.6,Россия,1995,комедия
"Гарри Поттер и Орден Феникса,7.8,""Великобритания, США"",2007,""фэнтези, приключения"""
"Хористы,8.3,""Франция, Швейцария"",2004,""драма, музыка"""
"Матрица: Перезагрузка,7.7,США,2003,""фантастика, боевик"""
"Святые из Бундока,7.9,""США, Канада"",1999,""боевик, триллер"""
"Kingsman: Секретная служба,7.6,""Великобритания, США"",2015,""боевик, комедия"""
"Бронкская история,8.0,США,1993,""драма, мелодрама"""
